bike_name,bike_type,date_ordered,quantity
 Speedster Pro,Road Bike,2022-10-07,4
Mountain Climber XT,Mountain Bike,2020-01-07,2
AirMaster 300,BMX,2020-07-10,7
UrbanCommuter 500,Hybrid Bike,2022-11-26,18
AirMaster 300,BMX,2022-10-18,3
Roadmaster Pro,Road Bike,2024-03-13,4
UrbanCommuter 500,Hybrid Bike,2020-04-15,1
UrbanCommuter 500,Hybrid Bike,2023-01-29,3
Roadmaster Pro,Road Bike,2023-12-08,2
Mountain Climber XT,Mountain Bike,2020-10-09,2
Mountain Climber XT,Mountain Bike,2023-10-25,3
BMX Freestyle Pro,BMX,2022-06-10,1
TrailBlazer XT,Mountain Bike,2020-01-18,2
UrbanCommuter 500,Hybrid Bike,2020-09-14,3
TrailBlazer XT,Mountain Bike,2022-01-23,2
AirMaster 300,BMX,2020-11-14,2
TrailBlazer XT,Mountain Bike,2022-02-16,3
Mountain Climber XT,Mountain Bike,2020-01-07,2
 Speedster Pro,Road Bike,2022-04-11,2
Roadmaster Pro,Road Bike,2023-05-05,2
BMX Freestyle Pro,BMX,2021-07-30,7
Roadmaster Pro,Road Bike,2021-11-03,3
Mountain Climber XT,Mountain Bike,2022-09-07,3
Roadmaster Pro,Road Bike,2020-12-25,15
Roadmaster Pro,Road Bike,2021-06-06,5
TrailBlazer XT,Mountain Bike,2024-04-23,3
UrbanCommuter 500,Hybrid Bike,2022-04-19,2
 Speedster Pro,Road Bike,2021-12-21,11
UrbanCommuter 500,Hybrid Bike,2023-08-03,2
TrailBlazer XT,Mountain Bike,2020-01-12,4
UrbanCommuter 500,Hybrid Bike,2021-01-04,2
 Speedster Pro,Road Bike,2020-10-20,3
UrbanCommuter 500,Hybrid Bike,2021-04-14,4
 Speedster Pro,Road Bike,2020-07-02,4
Mountain Climber XT,Mountain Bike,2023-11-19,18
TrailBlazer XT,Mountain Bike,2021-12-04,1
AirMaster 300,BMX,2022-02-17,3
AirMaster 300,BMX,2022-05-08,2
 Speedster Pro,Road Bike,2022-01-06,2
Hybrid Explorer,Hybrid Bike,2020-12-08,2
Mountain Climber XT,Mountain Bike,2024-07-08,2
BMX Freestyle Pro,BMX,2021-08-01,5
 Speedster Pro,Road Bike,2024-05-09,3
 Speedster Pro,Road Bike,2022-04-26,2
Roadmaster Pro,Road Bike,2022-02-07,1
AirMaster 300,BMX,2020-03-01,2
Roadmaster Pro,Road Bike,2020-09-25,1
Hybrid Explorer,Hybrid Bike,2021-06-07,10
AirMaster 300,BMX,2020-02-23,4
Hybrid Explorer,Hybrid Bike,2021-02-11,3
BMX Freestyle Pro,BMX,2021-07-15,6
TrailBlazer XT,Mountain Bike,2021-08-06,5
Hybrid Explorer,Hybrid Bike,2021-09-29,4
BMX Freestyle Pro,BMX,2022-09-20,3
Roadmaster Pro,Road Bike,2020-06-09,3
AirMaster 300,BMX,2021-01-23,2
UrbanCommuter 500,Hybrid Bike,2021-05-03,2
TrailBlazer XT,Mountain Bike,2023-10-14,3
Mountain Climber XT,Mountain Bike,2022-03-31,2
Mountain Climber XT,Mountain Bike,2020-10-06,2
AirMaster 300,BMX,2021-11-25,18
Roadmaster Pro,Road Bike,2023-05-30,2
UrbanCommuter 500,Hybrid Bike,2022-09-29,3
Mountain Climber XT,Mountain Bike,2020-04-19,3
Hybrid Explorer,Hybrid Bike,2022-06-22,6
UrbanCommuter 500,Hybrid Bike,2021-07-26,9
BMX Freestyle Pro,BMX,2023-04-24,1
Mountain Climber XT,Mountain Bike,2023-07-20,8
 Speedster Pro,Road Bike,2023-08-02,4
Roadmaster Pro,Road Bike,2020-07-01,7
BMX Freestyle Pro,BMX,2024-03-28,3
TrailBlazer XT,Mountain Bike,2024-02-21,5
UrbanCommuter 500,Hybrid Bike,2022-11-16,3
TrailBlazer XT,Mountain Bike,2024-09-30,3
BMX Freestyle Pro,BMX,2022-03-20,4
Roadmaster Pro,Road Bike,2022-03-06,1
Hybrid Explorer,Hybrid Bike,2020-02-02,1
TrailBlazer XT,Mountain Bike,2020-07-18,5
UrbanCommuter 500,Hybrid Bike,2021-10-22,4
Hybrid Explorer,Hybrid Bike,2020-01-24,3
Mountain Climber XT,Mountain Bike,2024-08-16,2
Roadmaster Pro,Road Bike,2024-05-31,3
TrailBlazer XT,Mountain Bike,2022-10-17,2
Mountain Climber XT,Mountain Bike,2024-08-08,4
AirMaster 300,BMX,2022-11-08,3
Hybrid Explorer,Hybrid Bike,2023-06-25,3
Mountain Climber XT,Mountain Bike,2022-05-28,3
Roadmaster Pro,Road Bike,2021-08-29,3
AirMaster 300,BMX,2021-10-28,3
BMX Freestyle Pro,BMX,2022-06-28,4
UrbanCommuter 500,Hybrid Bike,2021-04-20,1
Roadmaster Pro,Road Bike,2024-03-11,3
Hybrid Explorer,Hybrid Bike,2020-06-02,10
TrailBlazer XT,Mountain Bike,2020-04-07,4
UrbanCommuter 500,Hybrid Bike,2021-08-04,7
AirMaster 300,BMX,2020-07-12,7
Roadmaster Pro,Road Bike,2023-09-02,3
Mountain Climber XT,Mountain Bike,2020-09-20,1
TrailBlazer XT,Mountain Bike,2022-02-17,2
AirMaster 300,BMX,2024-08-06,3
BMX Freestyle Pro,BMX,2020-10-28,1
BMX Freestyle Pro,BMX,2022-04-11,2
Roadmaster Pro,Road Bike,2024-01-05,4
UrbanCommuter 500,Hybrid Bike,2024-05-28,3
UrbanCommuter 500,Hybrid Bike,2023-11-29,13
UrbanCommuter 500,Hybrid Bike,2020-08-15,5
Hybrid Explorer,Hybrid Bike,2020-10-29,4
Hybrid Explorer,Hybrid Bike,2020-08-09,11
Mountain Climber XT,Mountain Bike,2023-09-23,3
BMX Freestyle Pro,BMX,2021-07-15,6
BMX Freestyle Pro,BMX,2023-07-12,6
BMX Freestyle Pro,BMX,2024-02-23,3
 Speedster Pro,Road Bike,2020-08-08,4
AirMaster 300,BMX,2024-06-01,1
Mountain Climber XT,Mountain Bike,2024-04-12,3
Hybrid Explorer,Hybrid Bike,2021-08-23,11
BMX Freestyle Pro,BMX,2020-12-03,16
AirMaster 300,BMX,2023-06-29,8
 Speedster Pro,Road Bike,2020-03-25,2
BMX Freestyle Pro,BMX,2024-01-18,1
Mountain Climber XT,Mountain Bike,2022-10-16,4
UrbanCommuter 500,Hybrid Bike,2020-05-19,1
BMX Freestyle Pro,BMX,2020-08-08,13
UrbanCommuter 500,Hybrid Bike,2022-04-01,4
Mountain Climber XT,Mountain Bike,2020-07-05,9
BMX Freestyle Pro,BMX,2021-10-20,3
Hybrid Explorer,Hybrid Bike,2021-06-12,6
UrbanCommuter 500,Hybrid Bike,2020-02-11,4
Mountain Climber XT,Mountain Bike,2023-04-17,2
Mountain Climber XT,Mountain Bike,2023-12-08,2
TrailBlazer XT,Mountain Bike,2021-04-12,2
Roadmaster Pro,Road Bike,2021-02-02,3
Mountain Climber XT,Mountain Bike,2021-06-05,8
Mountain Climber XT,Mountain Bike,2022-01-03,3
Mountain Climber XT,Mountain Bike,2024-06-22,2
Roadmaster Pro,Road Bike,2020-01-02,4
TrailBlazer XT,Mountain Bike,2020-02-29,2
Hybrid Explorer,Hybrid Bike,2020-08-24,8
BMX Freestyle Pro,BMX,2020-08-27,8
TrailBlazer XT,Mountain Bike,2022-09-30,2
AirMaster 300,BMX,2020-08-01,7
TrailBlazer XT,Mountain Bike,2023-12-05,2
AirMaster 300,BMX,2021-10-06,3
 Speedster Pro,Road Bike,2020-07-13,7
BMX Freestyle Pro,BMX,2021-10-14,3
TrailBlazer XT,Mountain Bike,2020-07-22,8
UrbanCommuter 500,Hybrid Bike,2020-02-02,3
TrailBlazer XT,Mountain Bike,2020-07-18,9
Hybrid Explorer,Hybrid Bike,2021-09-23,4
AirMaster 300,BMX,2021-06-24,8
Mountain Climber XT,Mountain Bike,2022-10-30,1
 Speedster Pro,Road Bike,2024-02-02,4
UrbanCommuter 500,Hybrid Bike,2024-09-27,4
Roadmaster Pro,Road Bike,2021-03-08,2
BMX Freestyle Pro,BMX,2024-08-30,4
AirMaster 300,BMX,2020-06-07,11
UrbanCommuter 500,Hybrid Bike,2021-01-04,2
BMX Freestyle Pro,BMX,2021-09-27,3
BMX Freestyle Pro,BMX,2024-09-21,2
TrailBlazer XT,Mountain Bike,2021-05-09,3
 Speedster Pro,Road Bike,2021-12-23,13
BMX Freestyle Pro,BMX,2021-11-21,17
Hybrid Explorer,Hybrid Bike,2020-08-11,5
TrailBlazer XT,Mountain Bike,2023-03-18,1
UrbanCommuter 500,Hybrid Bike,2024-01-13,2
Roadmaster Pro,Road Bike,2023-03-20,3
Roadmaster Pro,Road Bike,2023-05-15,1
 Speedster Pro,Road Bike,2022-01-21,1
Mountain Climber XT,Mountain Bike,2020-08-28,9
TrailBlazer XT,Mountain Bike,2020-12-20,13
BMX Freestyle Pro,BMX,2022-02-07,2
BMX Freestyle Pro,BMX,2024-06-09,3
BMX Freestyle Pro,BMX,2021-07-01,5
 Speedster Pro,Road Bike,2020-08-17,4
Roadmaster Pro,Road Bike,2022-07-15,9
Mountain Climber XT,Mountain Bike,2024-04-03,3
UrbanCommuter 500,Hybrid Bike,2022-04-24,1
BMX Freestyle Pro,BMX,2023-04-21,4
Hybrid Explorer,Hybrid Bike,2021-06-21,11
Hybrid Explorer,Hybrid Bike,2020-02-18,3
AirMaster 300,BMX,2023-12-29,11
BMX Freestyle Pro,BMX,2020-04-05,3
 Speedster Pro,Road Bike,2022-06-21,9
AirMaster 300,BMX,2022-05-30,1
AirMaster 300,BMX,2020-04-10,3
 Speedster Pro,Road Bike,2024-08-12,4
Mountain Climber XT,Mountain Bike,2023-09-24,2
BMX Freestyle Pro,BMX,2021-11-19,20
BMX Freestyle Pro,BMX,2024-05-25,1
UrbanCommuter 500,Hybrid Bike,2023-04-12,4
BMX Freestyle Pro,BMX,2020-02-25,3
Mountain Climber XT,Mountain Bike,2023-04-15,2
 Speedster Pro,Road Bike,2021-04-21,5
UrbanCommuter 500,Hybrid Bike,2024-02-04,2
Hybrid Explorer,Hybrid Bike,2020-12-16,2
Hybrid Explorer,Hybrid Bike,2024-02-11,5
Hybrid Explorer,Hybrid Bike,2021-09-29,4
 Speedster Pro,Road Bike,2023-10-09,2
BMX Freestyle Pro,BMX,2022-02-02,3
AirMaster 300,BMX,2023-02-10,3
Hybrid Explorer,Hybrid Bike,2024-08-09,1
TrailBlazer XT,Mountain Bike,2021-06-17,10
 Speedster Pro,Road Bike,2020-06-11,6
Mountain Climber XT,Mountain Bike,2020-02-27,4
BMX Freestyle Pro,BMX,2022-10-12,4
Hybrid Explorer,Hybrid Bike,2021-12-30,12
Roadmaster Pro,Road Bike,2023-06-20,6
BMX Freestyle Pro,BMX,2020-09-30,3
TrailBlazer XT,Mountain Bike,2020-09-14,2
 Speedster Pro,Road Bike,2021-12-15,2
BMX Freestyle Pro,BMX,2023-03-06,1
Hybrid Explorer,Hybrid Bike,2022-11-17,2
UrbanCommuter 500,Hybrid Bike,2022-03-01,2
Hybrid Explorer,Hybrid Bike,2023-03-16,1
BMX Freestyle Pro,BMX,2020-02-11,3
AirMaster 300,BMX,2022-09-28,3
UrbanCommuter 500,Hybrid Bike,2020-10-22,2
BMX Freestyle Pro,BMX,2020-10-30,5
Roadmaster Pro,Road Bike,2021-02-07,3
 Speedster Pro,Road Bike,2022-11-30,16
Hybrid Explorer,Hybrid Bike,2020-06-28,6
Roadmaster Pro,Road Bike,2023-12-22,10
Roadmaster Pro,Road Bike,2023-09-22,3
Roadmaster Pro,Road Bike,2023-01-28,1
UrbanCommuter 500,Hybrid Bike,2024-06-02,2
Mountain Climber XT,Mountain Bike,2024-06-07,1
AirMaster 300,BMX,2020-04-10,1
 Speedster Pro,Road Bike,2024-04-21,2
Roadmaster Pro,Road Bike,2023-11-30,20
AirMaster 300,BMX,2023-10-09,5
AirMaster 300,BMX,2020-10-08,2
Mountain Climber XT,Mountain Bike,2022-08-29,8
TrailBlazer XT,Mountain Bike,2020-10-02,2
 Speedster Pro,Road Bike,2022-06-11,4
Roadmaster Pro,Road Bike,2020-03-23,2
Roadmaster Pro,Road Bike,2022-11-27,13
Hybrid Explorer,Hybrid Bike,2024-02-08,1
 Speedster Pro,Road Bike,2021-07-19,10
AirMaster 300,BMX,2021-07-27,6
Mountain Climber XT,Mountain Bike,2024-02-01,1
Mountain Climber XT,Mountain Bike,2021-09-03,4
AirMaster 300,BMX,2021-12-24,11
TrailBlazer XT,Mountain Bike,2021-01-28,3
Mountain Climber XT,Mountain Bike,2023-12-30,11
Roadmaster Pro,Road Bike,2024-02-14,2
 Speedster Pro,Road Bike,2023-09-29,2
 Speedster Pro,Road Bike,2024-05-29,2
AirMaster 300,BMX,2021-12-08,1
TrailBlazer XT,Mountain Bike,2024-01-29,2
Mountain Climber XT,Mountain Bike,2024-04-07,1
Hybrid Explorer,Hybrid Bike,2020-08-31,4
Mountain Climber XT,Mountain Bike,2024-02-19,1
UrbanCommuter 500,Hybrid Bike,2020-01-21,3
 Speedster Pro,Road Bike,2022-06-21,7
UrbanCommuter 500,Hybrid Bike,2020-11-29,12
TrailBlazer XT,Mountain Bike,2021-09-07,2
AirMaster 300,BMX,2020-07-22,12
Mountain Climber XT,Mountain Bike,2022-12-27,16
TrailBlazer XT,Mountain Bike,2022-11-25,14
 Speedster Pro,Road Bike,2023-09-12,3
AirMaster 300,BMX,2021-07-10,9
UrbanCommuter 500,Hybrid Bike,2021-05-18,5
TrailBlazer XT,Mountain Bike,2021-04-01,1
 Speedster Pro,Road Bike,2022-09-18,3
UrbanCommuter 500,Hybrid Bike,2024-02-15,3
AirMaster 300,BMX,2020-02-20,1
AirMaster 300,BMX,2020-05-22,4
Hybrid Explorer,Hybrid Bike,2021-10-17,5
Roadmaster Pro,Road Bike,2024-09-18,3
Hybrid Explorer,Hybrid Bike,2022-11-10,2
UrbanCommuter 500,Hybrid Bike,2020-03-11,3
BMX Freestyle Pro,BMX,2021-06-29,7
Hybrid Explorer,Hybrid Bike,2024-06-11,2
UrbanCommuter 500,Hybrid Bike,2020-10-23,2
AirMaster 300,BMX,2020-01-05,1
Hybrid Explorer,Hybrid Bike,2020-06-01,6
Hybrid Explorer,Hybrid Bike,2022-09-30,2
TrailBlazer XT,Mountain Bike,2022-06-24,10
Mountain Climber XT,Mountain Bike,2022-02-02,4
TrailBlazer XT,Mountain Bike,2021-11-23,16
BMX Freestyle Pro,BMX,2024-06-07,3
Mountain Climber XT,Mountain Bike,2021-01-05,3
AirMaster 300,BMX,2020-09-09,5
AirMaster 300,BMX,2023-05-12,3
TrailBlazer XT,Mountain Bike,2021-04-26,2
Roadmaster Pro,Road Bike,2023-12-20,12
TrailBlazer XT,Mountain Bike,2021-10-22,2
Hybrid Explorer,Hybrid Bike,2024-09-10,3
Hybrid Explorer,Hybrid Bike,2023-03-05,2
 Speedster Pro,Road Bike,2020-09-21,4
Roadmaster Pro,Road Bike,2023-11-20,18
UrbanCommuter 500,Hybrid Bike,2022-10-24,3
TrailBlazer XT,Mountain Bike,2021-09-27,3
BMX Freestyle Pro,BMX,2023-08-13,9
AirMaster 300,BMX,2023-09-02,2
Hybrid Explorer,Hybrid Bike,2024-05-08,3
UrbanCommuter 500,Hybrid Bike,2021-09-26,1
Mountain Climber XT,Mountain Bike,2023-03-26,1
Hybrid Explorer,Hybrid Bike,2021-04-19,2
TrailBlazer XT,Mountain Bike,2024-02-13,3
Hybrid Explorer,Hybrid Bike,2024-05-16,1
TrailBlazer XT,Mountain Bike,2021-08-25,6
BMX Freestyle Pro,BMX,2024-06-24,3
 Speedster Pro,Road Bike,2023-03-19,4
BMX Freestyle Pro,BMX,2022-07-24,5
Mountain Climber XT,Mountain Bike,2022-12-24,11
Mountain Climber XT,Mountain Bike,2020-07-24,5
Roadmaster Pro,Road Bike,2021-06-08,9
AirMaster 300,BMX,2020-12-23,15
Hybrid Explorer,Hybrid Bike,2024-03-23,3
UrbanCommuter 500,Hybrid Bike,2023-06-16,2
 Speedster Pro,Road Bike,2024-03-09,3
Mountain Climber XT,Mountain Bike,2021-05-30,1
AirMaster 300,BMX,2021-04-26,3
AirMaster 300,BMX,2024-04-17,3
Hybrid Explorer,Hybrid Bike,2020-12-03,18
Roadmaster Pro,Road Bike,2020-08-31,8
AirMaster 300,BMX,2021-01-28,4
TrailBlazer XT,Mountain Bike,2024-06-19,5
UrbanCommuter 500,Hybrid Bike,2021-01-24,2
UrbanCommuter 500,Hybrid Bike,2020-04-20,2
Roadmaster Pro,Road Bike,2024-09-30,3
Mountain Climber XT,Mountain Bike,2022-10-01,4
BMX Freestyle Pro,BMX,2024-05-12,4
AirMaster 300,BMX,2024-06-13,2
BMX Freestyle Pro,BMX,2023-04-14,2
Roadmaster Pro,Road Bike,2021-10-26,3
UrbanCommuter 500,Hybrid Bike,2021-04-20,3
 Speedster Pro,Road Bike,2024-09-30,1
TrailBlazer XT,Mountain Bike,2021-11-14,2
Hybrid Explorer,Hybrid Bike,2024-06-08,2
AirMaster 300,BMX,2021-12-28,13
AirMaster 300,BMX,2020-08-14,6
TrailBlazer XT,Mountain Bike,2021-01-01,14
Mountain Climber XT,Mountain Bike,2023-02-08,3
 Speedster Pro,Road Bike,2023-07-24,2
Roadmaster Pro,Road Bike,2023-01-06,2
AirMaster 300,BMX,2022-07-15,11
Hybrid Explorer,Hybrid Bike,2020-02-09,4
Roadmaster Pro,Road Bike,2020-06-07,11
 Speedster Pro,Road Bike,2021-08-17,4
TrailBlazer XT,Mountain Bike,2023-12-29,11
UrbanCommuter 500,Hybrid Bike,2020-09-23,3
Mountain Climber XT,Mountain Bike,2022-08-25,5
UrbanCommuter 500,Hybrid Bike,2023-02-15,2
TrailBlazer XT,Mountain Bike,2022-08-28,6
Hybrid Explorer,Hybrid Bike,2021-09-07,3
Mountain Climber XT,Mountain Bike,2020-08-29,9
Mountain Climber XT,Mountain Bike,2020-02-16,2
BMX Freestyle Pro,BMX,2023-03-15,4
Mountain Climber XT,Mountain Bike,2022-07-09,5
Hybrid Explorer,Hybrid Bike,2022-08-01,6
BMX Freestyle Pro,BMX,2021-11-15,2
Mountain Climber XT,Mountain Bike,2024-09-04,1
Roadmaster Pro,Road Bike,2021-03-14,2
BMX Freestyle Pro,BMX,2023-12-17,3
AirMaster 300,BMX,2024-08-12,2
 Speedster Pro,Road Bike,2020-01-31,1
Roadmaster Pro,Road Bike,2022-11-25,18
Roadmaster Pro,Road Bike,2022-02-11,2
Hybrid Explorer,Hybrid Bike,2023-06-10,5
UrbanCommuter 500,Hybrid Bike,2021-02-24,2
AirMaster 300,BMX,2022-03-28,2
BMX Freestyle Pro,BMX,2021-09-02,3
Roadmaster Pro,Road Bike,2022-01-01,11
Mountain Climber XT,Mountain Bike,2023-02-28,1
Mountain Climber XT,Mountain Bike,2023-08-20,6
TrailBlazer XT,Mountain Bike,2024-07-27,3
Hybrid Explorer,Hybrid Bike,2021-12-02,14
 Speedster Pro,Road Bike,2023-06-21,6
Mountain Climber XT,Mountain Bike,2023-04-11,2
Hybrid Explorer,Hybrid Bike,2021-06-23,8
TrailBlazer XT,Mountain Bike,2024-09-18,1
Roadmaster Pro,Road Bike,2021-03-16,3
Hybrid Explorer,Hybrid Bike,2020-10-31,3
AirMaster 300,BMX,2022-11-08,3
Roadmaster Pro,Road Bike,2023-07-08,10
Roadmaster Pro,Road Bike,2023-07-02,8
AirMaster 300,BMX,2020-01-28,3
Hybrid Explorer,Hybrid Bike,2021-07-22,8
BMX Freestyle Pro,BMX,2024-08-23,1
 Speedster Pro,Road Bike,2023-02-05,2
 Speedster Pro,Road Bike,2023-01-22,2
UrbanCommuter 500,Hybrid Bike,2022-08-29,3
Mountain Climber XT,Mountain Bike,2024-09-05,3
TrailBlazer XT,Mountain Bike,2020-10-13,3
TrailBlazer XT,Mountain Bike,2023-05-21,4
UrbanCommuter 500,Hybrid Bike,2021-08-24,11
 Speedster Pro,Road Bike,2022-12-11,2
AirMaster 300,BMX,2024-02-23,2
AirMaster 300,BMX,2024-05-28,2
Roadmaster Pro,Road Bike,2021-04-16,4
AirMaster 300,BMX,2023-06-17,9
Roadmaster Pro,Road Bike,2021-11-28,19
AirMaster 300,BMX,2022-06-15,6
Hybrid Explorer,Hybrid Bike,2024-07-04,2
UrbanCommuter 500,Hybrid Bike,2021-07-31,9
AirMaster 300,BMX,2024-02-24,3
BMX Freestyle Pro,BMX,2020-04-18,4
AirMaster 300,BMX,2022-01-13,2
AirMaster 300,BMX,2022-03-07,3
Hybrid Explorer,Hybrid Bike,2023-08-18,11
Hybrid Explorer,Hybrid Bike,2022-01-28,1
UrbanCommuter 500,Hybrid Bike,2023-01-26,2
Mountain Climber XT,Mountain Bike,2023-11-22,19
AirMaster 300,BMX,2022-06-16,6
Hybrid Explorer,Hybrid Bike,2021-05-17,3
TrailBlazer XT,Mountain Bike,2021-12-17,3
BMX Freestyle Pro,BMX,2024-05-09,3
UrbanCommuter 500,Hybrid Bike,2024-05-22,1
BMX Freestyle Pro,BMX,2022-05-13,3
 Speedster Pro,Road Bike,2021-04-29,2
BMX Freestyle Pro,BMX,2020-09-26,3
UrbanCommuter 500,Hybrid Bike,2022-12-27,16
UrbanCommuter 500,Hybrid Bike,2021-11-23,20
Roadmaster Pro,Road Bike,2024-02-11,2
TrailBlazer XT,Mountain Bike,2021-11-17,3
BMX Freestyle Pro,BMX,2020-02-18,3
UrbanCommuter 500,Hybrid Bike,2020-05-05,1
Mountain Climber XT,Mountain Bike,2021-01-29,4
BMX Freestyle Pro,BMX,2023-01-29,3
 Speedster Pro,Road Bike,2022-09-13,4
BMX Freestyle Pro,BMX,2021-11-10,1
BMX Freestyle Pro,BMX,2020-09-07,4
UrbanCommuter 500,Hybrid Bike,2022-04-30,3
TrailBlazer XT,Mountain Bike,2021-08-28,7
Mountain Climber XT,Mountain Bike,2022-10-03,5
Roadmaster Pro,Road Bike,2024-01-28,3
Roadmaster Pro,Road Bike,2023-06-20,4
BMX Freestyle Pro,BMX,2020-02-03,2
UrbanCommuter 500,Hybrid Bike,2022-09-27,2
TrailBlazer XT,Mountain Bike,2020-07-18,9
Hybrid Explorer,Hybrid Bike,2020-09-13,2
Hybrid Explorer,Hybrid Bike,2021-12-01,19
TrailBlazer XT,Mountain Bike,2021-08-11,4
Hybrid Explorer,Hybrid Bike,2020-04-09,3
Hybrid Explorer,Hybrid Bike,2021-02-27,2
BMX Freestyle Pro,BMX,2023-11-13,2
TrailBlazer XT,Mountain Bike,2023-11-20,16
BMX Freestyle Pro,BMX,2024-02-03,3
AirMaster 300,BMX,2021-05-31,2
UrbanCommuter 500,Hybrid Bike,2021-12-05,1
Roadmaster Pro,Road Bike,2023-04-14,2
Hybrid Explorer,Hybrid Bike,2023-07-22,7
Roadmaster Pro,Road Bike,2023-07-16,6
AirMaster 300,BMX,2023-11-15,2
Hybrid Explorer,Hybrid Bike,2022-07-24,5
Hybrid Explorer,Hybrid Bike,2022-09-20,2
BMX Freestyle Pro,BMX,2024-01-28,1
Hybrid Explorer,Hybrid Bike,2020-02-13,3
 Speedster Pro,Road Bike,2020-04-09,3
 Speedster Pro,Road Bike,2022-02-07,4
Mountain Climber XT,Mountain Bike,2021-09-02,2
BMX Freestyle Pro,BMX,2023-03-18,1
BMX Freestyle Pro,BMX,2020-03-12,2
UrbanCommuter 500,Hybrid Bike,2020-08-26,8
Hybrid Explorer,Hybrid Bike,2021-06-06,2
TrailBlazer XT,Mountain Bike,2023-12-02,18
Mountain Climber XT,Mountain Bike,2023-06-18,9
UrbanCommuter 500,Hybrid Bike,2022-04-23,4
 Speedster Pro,Road Bike,2024-02-02,2
Hybrid Explorer,Hybrid Bike,2020-06-20,8
Mountain Climber XT,Mountain Bike,2021-08-06,9
Mountain Climber XT,Mountain Bike,2020-12-14,3
AirMaster 300,BMX,2022-05-29,3
 Speedster Pro,Road Bike,2021-06-08,5
AirMaster 300,BMX,2021-04-08,2
BMX Freestyle Pro,BMX,2020-08-17,9
UrbanCommuter 500,Hybrid Bike,2022-05-02,4
 Speedster Pro,Road Bike,2022-06-12,4
Hybrid Explorer,Hybrid Bike,2024-01-10,2
 Speedster Pro,Road Bike,2023-11-16,2
BMX Freestyle Pro,BMX,2023-12-14,3
 Speedster Pro,Road Bike,2023-07-05,5
TrailBlazer XT,Mountain Bike,2022-12-02,19
Mountain Climber XT,Mountain Bike,2024-06-02,2
AirMaster 300,BMX,2020-04-22,3
Mountain Climber XT,Mountain Bike,2020-02-08,5
AirMaster 300,BMX,2020-03-26,3
TrailBlazer XT,Mountain Bike,2023-02-04,3
BMX Freestyle Pro,BMX,2022-09-12,2
Roadmaster Pro,Road Bike,2022-01-27,2
AirMaster 300,BMX,2020-06-28,7
Roadmaster Pro,Road Bike,2022-12-13,3
UrbanCommuter 500,Hybrid Bike,2021-03-02,2
Hybrid Explorer,Hybrid Bike,2024-02-19,2
Mountain Climber XT,Mountain Bike,2021-03-12,3
 Speedster Pro,Road Bike,2023-09-24,2
TrailBlazer XT,Mountain Bike,2022-02-01,1
TrailBlazer XT,Mountain Bike,2020-09-29,2
BMX Freestyle Pro,BMX,2021-04-24,1
Roadmaster Pro,Road Bike,2024-07-17,3
TrailBlazer XT,Mountain Bike,2023-07-22,7
Roadmaster Pro,Road Bike,2023-01-06,3
UrbanCommuter 500,Hybrid Bike,2023-05-22,3
Mountain Climber XT,Mountain Bike,2024-05-31,4
TrailBlazer XT,Mountain Bike,2021-09-24,3
 Speedster Pro,Road Bike,2020-12-03,17
TrailBlazer XT,Mountain Bike,2022-10-13,2
Mountain Climber XT,Mountain Bike,2020-03-10,2
BMX Freestyle Pro,BMX,2022-01-31,2
Roadmaster Pro,Road Bike,2020-05-02,3
UrbanCommuter 500,Hybrid Bike,2022-08-01,10
TrailBlazer XT,Mountain Bike,2021-10-27,2
Hybrid Explorer,Hybrid Bike,2022-03-22,3
 Speedster Pro,Road Bike,2023-04-07,2
 Speedster Pro,Road Bike,2021-09-09,4
Hybrid Explorer,Hybrid Bike,2021-05-07,2
TrailBlazer XT,Mountain Bike,2021-11-21,17
Roadmaster Pro,Road Bike,2020-05-08,3
UrbanCommuter 500,Hybrid Bike,2024-03-05,3
UrbanCommuter 500,Hybrid Bike,2020-03-22,1
Hybrid Explorer,Hybrid Bike,2020-04-02,3
TrailBlazer XT,Mountain Bike,2024-07-14,2
AirMaster 300,BMX,2021-09-05,1
TrailBlazer XT,Mountain Bike,2023-05-21,3
UrbanCommuter 500,Hybrid Bike,2022-12-21,8
AirMaster 300,BMX,2021-10-01,1
Hybrid Explorer,Hybrid Bike,2022-10-18,1
Hybrid Explorer,Hybrid Bike,2020-08-04,7
AirMaster 300,BMX,2023-07-25,6
Mountain Climber XT,Mountain Bike,2020-02-23,4
Hybrid Explorer,Hybrid Bike,2021-12-16,2
 Speedster Pro,Road Bike,2023-07-12,4
BMX Freestyle Pro,BMX,2023-07-14,10
AirMaster 300,BMX,2024-09-20,3
 Speedster Pro,Road Bike,2021-01-16,2
UrbanCommuter 500,Hybrid Bike,2023-07-31,10
BMX Freestyle Pro,BMX,2022-04-20,2
BMX Freestyle Pro,BMX,2022-09-04,3
Roadmaster Pro,Road Bike,2021-06-29,9
 Speedster Pro,Road Bike,2023-11-19,19
Mountain Climber XT,Mountain Bike,2020-01-15,4
AirMaster 300,BMX,2022-10-09,3
BMX Freestyle Pro,BMX,2020-09-17,4
Roadmaster Pro,Road Bike,2020-09-25,2
 Speedster Pro,Road Bike,2020-04-13,2
TrailBlazer XT,Mountain Bike,2022-02-23,1
UrbanCommuter 500,Hybrid Bike,2024-03-02,4
TrailBlazer XT,Mountain Bike,2023-12-12,3
TrailBlazer XT,Mountain Bike,2020-10-28,1
BMX Freestyle Pro,BMX,2022-04-01,1
